ID,Text,Highlights,Tag
38,"Товар соответствует описанию. Использую его в течение нескольких дней — работает стабильно, без особых проблем. Качество исполнения на среднем уровне, упаковка — стандартная. Не могу сказать, что меня впечатлило, но и существенных недостатков не обнаружил. В целом — приемлемый вариант для своей цены.","Товар соответствует описанию, работает стабильно, без особых проблем, на среднем уровне, стандартная, существенных недостатков не обнаружил, приемлемый вариант",Нейтральный
39,"Благодарю команду за качественное обслуживание и внимательность! Лучший ресторан в городе, приятная атмосфера) Просидеть можно целый день и кайфовать, тот самый нужный вайб и всегда ощущение свежести, никаких не приятных ароматов , чистейшая обстановка в каждом уголке ресторана. Побольше бы таких мест","Благодарю, качественное обслуживание, Лучший ресторан в городе , приятная атмосфера), кайфовать , По больше бы таких мест,тот самый нужный вайб, всегда ощущение свежести, чистейшая",Позитивный
40,"САМАЯ УЖАСНАЯ АВТОШКОЛА ""АРИСТОТЕЛЬ!"" Вас никто там НЕ НАУЧИТ ВОЖДЕНИЮ, потому что это НЕРЕАЛЬНО СДЕЛАТЬ!! Занимались по 1 занятию в неделю, вместо положенных 2-х. К концу обучения у всех осталось более 10-ти часов вождения. Отъездить все свои часы невозможно, постоянные ссоры из-за записи в чате. Руководство этой организации молча закрывает глаза на свои недостатки, а ты тратишь только своё время, нервы и деньги впустую!","САМАЯ УЖАСНАЯ , НЕ НАУЧИТ, невозможно , постоянные ссоры , молча закрывает глаза на свои недостатки, тратишь только, нервы и деньги впустую!",Негативный
41,"Усматриваю обман со стороны курьера. Не отдал половину товаров. Видимо присвоил себе. Техподдержка Яндекса отказалась возвращать деньги полностью, вернули часть. Не вернули за сервисный сбор, сказав что услуга оказана. Что за бред. когда тебе не доставили твой заказ.Ужас и позор Яндекс еде доставке.","Усматриваю обман , Не отдал, присвоил , отказалась , Не вернули, Что за бред , Ужас и позор Яндекс",Негативный
42,"заказывала пиццу и суши в вечер пятницы. Доставка пришла точно в срок, курьер был вежлив и аккуратен. Пицца была горячей и очень вкусной, тесто идеально пропеченное, а начинка свежая. Суши тоже порадовали рыба была свежей, а роллы аккуратно свернуты.Особенно понравилось, что в заказе были соусы, которые идеально дополнили блюда. В следующий раз обязательно закажу снова! Рекомендую всем, кто хочет быстро и вкусно поесть!","точно в срок, вежлив и аккуратен , очень вкусной, идеально, свежая, тоже порадовали , Особенно понравилось , аккуратно, обязательно закажу снова! , Рекомендую всем, быстро и вкусно",Позитивный
43,"Программа  хорошая и удобная штука для заказов еды не выходя из дома. Всем предлагаю заказывать еду отсюда я сам заказываю уже третий год. Все отлично, еду привезли горячую, курьер приехал точно в указанный срок, блюда  зашли
Плюс большой выбор ресторанов на сервисе.
Яндекс Еда – это самая быстрая доставка еды! Курьеры всегда приезжают вовремя, а иногда даже раньше. Очень удобно, когда голоден и нет времени ждать.","Программа  хорошая и удобная, Всем предлагаю, Все отлично, приехал точно в указанный срок, блюда  зашли, большой выбор, вовремя, иногда даже раньше, самая быстрая, Очень удобно",Позитивный
44,"Поддержка в чате игнорирует, по звонку отсылают ждать в чате. От возврата отказались по почте ""пообещали проработать ситуацию в будущем"" но я таких ситуаций наслушался когда был курьером, Яндекс не уважает ни своих работников, ни своих клиентов, улучшений не там ни там нет, курьеров только гнобят и понижают выплаты, клиентов опрокидывают как и меня. Желаю каждому человеку никогда не заказывать там, ходите кушать сами. А уж про то что сейчас с такси происходит можно даже не говорить.Желаю сервису самоуничтожиться.","игнорирует , наслушался, отсылают ждать, От возврата отказались, не уважает , гнобят и понижают выплаты , опрокидывают,  никогда не заказывать, можно даже не говорить, Желаю сервису самоуничтожиться ",Агрессивный
45,"Решил поделиться впечатлениями от Яндекс Лавки, пользуюсь уже пару месяцев. В основном заказываю, когда совсем нет времени или желания идти в магазин.Что реально нравится – это скорость. Часто заказ привозят буквально за 15-20 минут, особенно если не набираешь целую тележку. Создается ощущение, что они где-то рядом базируются, что очень удобно для срочных случаев. Приложение тоже радует: простое, понятное, цены как в обычных магазинах (типа Пятерочки), оплата картой – все без лишних заморочек. Курьеры обычно приезжают оперативно, аккуратно передают заказ. Один раз даже парень в тапочках привез, но так быстро, что даже улыбнуло.","нравится – это скорость , очень удобно , радует: простое, понятное, все без лишних заморочек, оперативно, аккуратно , даже улыбнуло",Позитивный
46,"Я приятно удивлена качеством и подходом к клиенту. Заказ оформила быстро, всё было понятно и удобно. Упаковка аккуратная, товар пришёл без единой царапины — видно, что люди заботятся о своей репутации и клиентах. Пользуюсь уже неделю и ни одного нарекания! Приятный бонус — оперативная поддержка, которая действительно помогает, а не просто ""отвечает"". Буду заказывать снова и советовать друзьям!","приятно удивлена , быстро, понятно и удобно , видно, что люди заботятся о своей репутации , ни одного нарекания, оперативная, действительно помогает , советовать",Позитивный
47,"В последнее время всё чаще убеждаюсь -- правдивые отрицательные отзывы на яндексе про крупные конторы, способные платить за ""нужные"" оценки -- ведут к удалению постов и блокировке аккаунта. Без всяких предупреждений и объяснений. Теперь -- втихую. Свежий пример -- за отзыв про Вкусвилл. По их наводке неподкупный яндекс оперативно подтёр всю ветку с отзывом, аккаунт восстановлению не подлежит -- так и соизволили ответить. Кто-то ещё верит отзывам и постам на яндексе? дальше будет интереснее, но скучнее","отрицательные отзывы, конторы, удалению постов и блокировке аккаунта",Негативный
48,"Компания демонстрирует высокий уровень клиентского сервиса и надёжность. Продукт отвечает заявленным характеристикам, интеграция прошла без проблем. Команда реагирует на запросы оперативно, с чётким пониманием задач. Отдельно хочется отметить гибкость и внимание к деталям. Работать было комфортно, с ощущением уверенности в результате. Планируем продолжить сотрудничество и рекомендовать коллегам в отрасли.","демонстрирует высокий уровень клиентского сервиса и надёжность , Продукт отвечает заявленным характеристикам, прошла без проблем , с чётким пониманием, гибкость, внимание к деталям , комфортно , с ощущением уверенности в результате, Планируем продолжить сотрудничество, рекомендовать",Позитивный
49,"Иногда случается так, что продукт оказывается даже лучше, чем ожидал. Это один из тех случаев. Пользоваться этим стало не только удобно, но и приятно — продумано всё до мелочей. Я ощутила, что обо мне как клиенте действительно заботятся: поддержка быстро решала мои вопросы, оформление интуитивно понятно, а сам товар просто супер. Благодарю за такой подход!","даже лучше, удобно, приятно , продумано всё до мелочей , заботятся , быстро , интуитивно понятно, супер , Благодарю",Позитивный
50,"Сотрудничество прошло в рамках установленных договорённостей. Коммуникация поддерживалась на базовом уровне, все необходимые документы предоставлялись своевременно. Работа выполнена с соблюдением сроков, результат соответствует требованиям. Особенного энтузиазма или инициативы в ходе взаимодействия не наблюдалось, однако и существенных затруднений не возникло. Оценка скорее нейтральная — это партнёрство не оставило яркого впечатления, но может быть повторено при необходимости","прошло в рамках установленных договорённостей, на базовом уровне, своевременно,  с соблюдением сроков, соответствует требованиям, нейтральная , не оставило яркого впечатления, при необходимости",Нейтральный
51,"Продукт — разочарование года. Сделано из дешёвого материала, как будто на заводе решили просто избавиться от остатков. Пользоваться этим невозможно — всё ломается, трещит и раздражает с первого дня. Если вы хотите выбросить деньги — берите, тут это гарантировано. Не советую даже врагам","разочарование года, из дешёвого материала, избавиться от остатков,  пользоваться невозможно, все ломается, трещит, раздражает с первого дня, выбросить деньги, не советую даже врагам",Агрессивный
52,"Редкостный ужас. Приложение глючит, вылетает, интерфейс — как из 2010-го, поддержки нет. Сложилось ощущение, что разработчики просто бросили всё на самотёк. Ни удобства, ни стабильности — и главное, никому до этого нет дела. Не рекомендую категорически","редкостный ужас, приложение глючит, вылетает интерфейс - как из 2010-го, поддержки нет, бросили все на самотек, ни удобства, ни стабильности, никому до этого нет дела, не рекомендую категорически",Агрессивный
53,"«Опыт взаимодействия с данной компанией можно охарактеризовать как систематически неудовлетворительный. В течение всего сотрудничества наблюдалось отсутствие ответственности, некомпетентность персонала и игнорирование ключевых договорённостей. Каждый этап сопровождался нарушениями сроков, недостаточной коммуникацией и отказом от принятия обязательств. Результат оказался далёк от заявленного качества, а попытки наладить диалог с представителями компании не привели ни к каким конструктивным действиям.","систематически неудовлетворительный, отсутствие ответственности, некомпентетность персонала,  игнорирование ключевых договорённостей, нарушениями сроков, недостаточной коммуникации, отказом от принятия обязательств, результат оказался далёк, не привели ни к каким констурктивным действиям",Негативный
54,"Врач Бобек А. Ф. - хамка Накричала за то, что я вообще пришла на приём. ""Мне что, вас до 8 часов принимать?"" Учитывая, что я была первая в очереди на приём с 4 до 8 Дальше отказалась выдавать больничный, ссылаясь на отсутствие письменного отказа от прививки от гриппа, который я писала 2 недели назад у другого врача. И точно не я забыла его вклеить в карточку.","хамка, накричала, отказалась, ссылаясь",Негативный
55,"Самое ужасное место!!!! Мед персонал похабно относится к пациентам. Талонов не хватает, вечные очереди. По большому счёту никому нет дела до чьихто просьб и состояния здоровья. Все только смотрят своё время","ужасное место, персонал похабно относится, не хватает, вечные очереди, никому нет дела ",Агрессивный
56,"«Сервис выполнил заявленную функцию в полном объеме. Связь с представителями компании осуществлялась через стандартные каналы — электронную почту и телефон. Ответы на запросы поступали с допустимой задержкой, содержание переписки носило информативный характер. Услуга оказана в установленные сроки, качество соответствует ожиданиям, но без выраженных преимуществ. Общение происходило в корректной форме, без проявлений дополнительной инициативы. Общее впечатление — удовлетворительное, но без элементов, способных выделить этот сервис среди аналогичных предложений на рынке","выполнил заявленную функцию,  стандартные каналы, с допустимой задержкой, информативный характер, в установленные сроки, соответствует ожиданиям, без выраженных преимуществ, Общее впечатление — удовлетворительное",Нейтральный
57,"Спасибо! В основном попадал к травмотологам. Хорошо налажена работа, хоть и блоьшие очереди, но медсёстры и доктора стараются и всё быстренько помогают людям. Терапевты - большое спасибо, у меня на 11 участке, девушка очень внимательная. Отдельное спасибо Алле Палюшик. Крепкого всем здоровья."," Спасибо! Хорошо налажена работа, стараются, быстренько помогают людям, большое спасибо, девушка очень внимательная, отдельное спасибо, здоровья",Позитивный
58,"Нужна была справка для замены в/у по сроку. Тихий ужас. Три кабинета, отсутствие электронной очереди, человек 50 на маленькое помещение… самый адекватный оказался 2 кабинет с теми, кто принимал оплату. В первом кабинете психиатра смотрели с претензией, как будто прием бесплатный и я почему то занимаю чужое время. В кабинете нарколога врач вообще перешел на повышенный тон и преднамеренный вызов на конфликт. Прошу провести общение с наркологом, который вел прием 25.09.24, возможно направить его на курсы повышения квалификации, если общению с людьми его исторически не учили. Если он начинает орать на всех, кто поворачивается не так, как ему нужно (70% от потока 25.09 граждане не РФ), то это провал. Если русский человек не понимает, что нужно делать, то как поймет не носитель языка? Не стала опускаться до его уровня и решать вопрос на месте, было очень жаль тех людей, которые из-за его хамства прождали бы еще дольше","Тихий ужас, маленькое помещение, смотрели с претензией, врач вообще перешел на повышенный тон и преднамеренный вызов на конфликт,  прошу провести общение, не учили, Если он начинает орать на всех, жаль, хамства, ещё дольше",Негативный
59,"Всем доброго дня! Это отзыв не об учреждении и системе здравоохранения. Это отзыв о людях, которые в ней трудятся. Возможно, если бы я не был так деликатно-настойчив, то они не смогли бы раскрыть свою человечность и доброту(возможно, но не факт): медсестра Максимова Елена Сергеевна и кассир Вершинина Ирина. Но ведь ""достучался"" же до них и за это им огромная благодарность. Это вступление)))) В общем я пришёл получить подписи на справку в ГИБДД, но пришёл к закрытию уже, а тут очередь. Сначала принципиально мне было отказано в услуге по причине отключения кассы строго по времени. Но я знаю, что работая в таких условиях, человек немного черствеет и работать с людьми в целом ""не легко"", а с уставшими и опоздавшими, а также взволнованными и возмущенными ещё труднее.","человечность и доброту, и за это им огромная благодарность",Позитивный
60,"Доброго времени суток. В этом году ребенку для лагеря понадобилась справка от психиатра. Но к сожалению, список документов прислали в самый притык и я не смогла во время записаться на прием к доктору. Когда я позвонила мне сказали, что принять она нас не сможет. Я начитавшись здесь печальных отзывов, на свой страх и риск взяла дочь и поехала в диспансер. И о чудо!!! Нас приняли, врач оказалась очень любезной, приятной женщиной. Пожурила нас конечно, но справку выдала и пожелала хорошего отдыха. Спасибо большое. Желаем, чтоб у всех тоже все складывалось хорошо.","чудо!!! врач оказалась очень любезной, приятной женщиной, справку выдала и пожелала хорошего отдыха, Желаем, чтоб у всех тоже все складывалось хорошо, Спасибо большое",Позитивный
61,"Хочу поделиться своим впечатлением о фитнес-клубе N-ERGO. Это отличное место для тех, кто ценит качество и разнообразие в тренировках. В клубе есть просторный и современный бассейн с чистой водой, где можно комфортно плавать и заниматься аквааэробикой. Фитнес-зал оборудован новейшими тренажерами, которые подходят как для новичков, так и для опытных спортсменов. Кроме того, в N-ERGO предлагается широкий выбор групповых занятий — от йоги и пилатеса до силовых тренировок и танцевальных классов. Атмосфера дружелюбная и мотивирующая, персонал всегда готов помочь и дать профессиональную консультацию. Рекомендую этот клуб всем, кто хочет поддерживать форму и получать удовольствие от тренировок"," отличное место, ценит качество и разнообразие, есть просторный и современный, можно комфортно, новейшими тренажёрами, широкий выбор, Атмосфера дружелюбная и мотивирующая, персонал всегда готов помочь и дать профессиональную консультацию, Рекомендую этот клуб всем, получать удовольствие",Позитивный
62,"Ублажаемая администрация клуба и Сагирян!!! Вы ещё долго собираетесь игнорировать мои многочисленные жалобы по поводу грязи и бедлама в клубе??! Грязь, неработающие кондиционеры, годами стоящие вёдра на ресепшене и на полу, куда стекает вода с потолка, вырванные кнопки слива в туалете - у меня уже целый фотоколлаж собрался для Роспотребнадзора и Прокуратуры. Вы просто даже не способны словесно донести до уборщиков, где надо тщательнее протереть самые видимые грязные места! Позорище! Не хотите и не умеете работать! Освободите места, вы там лишние! Никому не советую брать и продлевать абонемент в этот клуб.","Вы ещё долго собираетесь игнорировать мои многочисленные жалобы, грязи и бедлама,  Грязь, неработающие кондиционеры, годами стоящие вёдра, вырванные кнопки, для Роспотребнадзора и Прокуратуры, Вы просто даже не способны словесно донести до уборщиков, грязные места, позорище! не хотите и не умеете, вы там лишние, Никому не советую",Агрессивный
63,"Я очень расстроена, из-за не компетентности менеджера я лишилась возможности оформить карту посещения на пол года в новый год и ходить в бассейн. Менеджер звонила мне в декабре по поводу оформления карты сама и слушала только себя. Я не могла придти в тот день, когда ей было удобно и я спросила до какого времени перед праздниками работает фитнес клуб. Менеджер сообщила: Мы работаем вплоть до 31 декабря. Она не сказала самое важное, что клуб работает только до 3х. 31 декабря, а я пришла в 5 вечера и увидела закрытую дверь. И дальше оказалось,что якобы менеджер согласовала для меня в декабре спец условия рассрочки, которые не работают в январе. в итоге на каникулы я осталась без возможности ходить в фитнес клуб. Сегодня я позвонила в клуб,чтобы поговорить с руководством, но разговаривать со мной не стали и просто стали врать,что менеджер мне звонила 31 декабря, что во-первых не правда, во-вторых просто бросили трубку.","очень расстроена, из-за не компетентности менеджера я лишилась возможности, слушала только себя, она не сказала самое важное, я не могла, я осталась без возможности, разговаривать со мной не стали и просто стали врать, не правда, бросили трубку",Негативный
64,"Вчера проводили здесь корпоратив и мне сильно не понравилось. Еда была невкусная и её было очень мало. Деревянный хлеб, пересоленый рулетик из ветчины и сыра, невкусный шашлык (местами сырой, местами пересушенный) и кинза в каждом соусе... На стол на 12 человек принесли 2 салата (небольшие тарелки), тарелку с рулетиками (7штук), сыр, соленья и фрукты, хлеб. Позже принесли две тарелки шашлыка (мясо и рыба+овощи). Всего количества еды явно было мало на стол за те деньги, которые мы платили. В прошлом году тоже проводили корпоратив в данном месте, еды было больше, хоть и не намного. Это не все минусы... Официанты постоянно без разрешения подливали напитки и, стоило на секунду отвлечься, они тут же уносили тарелки, даже если там еще оставалась еда. За два часа до окончания брони столы стали почти пустыми (как и в прошлом году). Крайне не советую это место, если решите его посетить, то готовьтесь жевать безвкусный шашлык и охранять тарелки, а не отдыхать...","мне сильно не понравилось, Еда была невкусная и её было очень мало, деревянный хлеб, пересоленный, невкусный, сырой, пересушенный, явно было мало, Это не все минусы, без разрешения, Крайне не советую это место, безвкуный",Агрессивный
65,"На охране грубияны и судаки . Не пускают гостей мероприятий на бизнес такси. Ничего писать здесь не буду. Всё высказал управляющему в глаза. Надеюсь, исправят. Клиентам опасаться нечего, для них все норм! 5 лет назад было лучше. Всё платно, цены высокие, а всё выглядит обшарпано какие-то вокруг не действующие в бурьяне постройки. Парк не нужен новым владельцам- прежний, который его создал, вкладывал душу и думал о людях. Было все - катание на каретах, аттракционы, зоопарк был бесплатный, бесплатные маршрутки до Домодедовской. Братья, друзья главного просто отжали банк и парк, прибыли он не даёт вот и рушится все. Утки и те исчезли из пруда. Позор","грубияны и судаки, Не пускают гостей, ничего писать здесь не буду, Всё высказал управляющему в глаза, было лучше, всё платно, цены высокие, выглюдит обшарпано, не действующие в бурьне постройки, Парк не нужен новым владельцам, отжали, рушится все, исчезли, позор",Агрессивный
66,"Кухонная вытяжка — устройство для очищения воздуха от дыма, продуктов сгорания, испарений, запахов и прочих нежелательных примесей, образующихся при тепловой обработке продуктов, которые накапливаются в объёме кухни.
 В процессе приготовления пищи выделяются разнообразные продукты горения. Жиры и копоть оседают на потолке, стенах и фасаде кухонной мебели, сокращая срок её службы. Согласно санитарным нормам, на кухне должен соблюдаться 8-10-кратный ежечасный воздухообмен. Вытяжки улавливают дым, запахи и испарения, исходящие от плиты, препятствуют их распространению по кухне и проникновению в смежные помещения.",нет выраженных эмоций,Нейтральный
67,"Есть что-то особенное в природе, что вызывает у человека чувство восхищения и умиротворения. Одним из таких мест на земле является лес. Здесь можно насладиться тишиной, свежим воздухом и красотами природы. Лес – это место, где природа живет своей жизнью, чаще не затронутой человеком. Здесь царит гармония и покой, и каждый звук, каждый шорох является частью этого удивительного мира. Гуляя по лесу, можно наблюдать разнообразные растения и деревья, которые растут в разных условиях и на разных почвах. Некоторые деревья тянутся к солнцу, а другие предпочитают тень. Лес является домом для многих видов животных и птиц, и наблюдая за ними, можно узнать много интересного о их повадках и образе жизни. Все это многообразие природы делает лес таким уникальным и неповторимым. В заключении хочется сказать, что лес – это одно из самых удивительных и прекрасных мест на земле.","чувство восхищения и умиротворения, можно насладиться,царит гармония и покой, свежим воздухом, красотами, можно узнать много интересного, уникальным и неповторимым, это одно из самых удивительных и прекрасных мест",Позитивный
68,"Уже в ближайшие дни, как предупреждает правительство страны, может произойти мегаземлетрясение.
 Больше всего опасение вызывает разлом Нанкай. Это подводный желоб, что проходит вдоль юго-восточного японского побережья от острова Кюсю и до части острова Хонсю. Общая протяженность составляет 900 километров. Как говорят эксперты, этот разлом может вызвать разрушительной силы цунами. 
 «Существует несколько общепринятых классификаций землетрясений. Среди них есть и мегаземлетрясение — это особо мощное землетрясение, возникающее на границах тектонических плит в зонах субдукции и обладающее магнитудой обычно выше 8,5, часто 9,0 и более. Очень часто такие землетрясения сопровождаются мощными цунами»",нет выраженных эмоций,Нейтральный
69,"Купила печенье Любятово Домашнее сдобное с шоколадом 156 г и была приятно удивлена его вкусом. Печенье очень нежное, рассыпчатое и полностью окутано сладким шоколадом.
 Соответствует названию и правда напоминает домашнее. Производитель рекомендует разогреть печенье, так оно становится мягким и будто бы только из духовки, шоколад подтаивает, ммм (грели 30 сек в микроволновке)
 Кусочки шоколада большие и не приторные, скорее всего, это тёмный шоколад.
 Оно не слишком сладкое и идеально подходит для утреннего кофе или чая. Упаковка также очень удобна для хранения или для того, чтобы взять с собой в дорогу.","приятно удивлена,очень нежное, соответствует, идеально подходит, очень удобна",Позитивный
70,"Средиземноморский курорт Сиде, расположенный на зелёном мысе, знаменит своими античными памятниками архитектуры и великолепными песчаными пляжами. Основанный греками, он назван в честь символа богини Артемиды (сиде – гранат). Особенно хороши пляжи в западной части курорта, поэтому на них всегда многолюдно. Восточные менее востребованы туристами, но в этом и заключается их преимущество. По качеству они уступают западным, зато отдых на них более комфортный из-за отсутствия столпотворения.",нет выраженных эмоций,Нейтральный
71,"Сейсмологи отмечают признаки активности в районе Андаманского моря. Возможен ли повтор самого страшного в истории цунами 2004 года?
 Спустя 20 лет после одной из самых страшных природных катастроф в истории, над Андаманским побережьем Таиланда вновь появляется опасность. Недавняя сейсмическая активность вблизи Никобарских островов вызвала серьезные опасения у экспертов, которые предупреждают о возможном цунами.
 Власти призывают к бдительности, проводя эвакуационные учения, ведь новая волна может оказаться еще быстрее и сильнее той, что обрушилась на Таиланд в декабре 2004 года.","повтор самого страшного в истории цунами, одной из самых страшных, вновь появляется опасность, вызвала серьёзные опасения, власти призывают к бдительности",Негативный
72,"В 2025 году наши студенты получили свой первый документ о профессиональном образовании, стали педагогами по физической культуре и спорту.
 Мы хотим рассказать вам о достижениях спортсменов — выпускников государственного училища (колледжа) олимпийского резерва. Их пример служит вдохновением и мотивацией для всех ребят, стремящихся покорять вершины большого спорта! 
 В выпуске 2024 -2025 года - 131 студент, среди которых: 
 8 мастеров спорта России; 
 25 кандидатов в мастера спорта;
 14 членов сборной команды Российской Федерации!
 Мы уверены, что наши выпускники продолжат свое успешное выступление на спортивных соревнованиях, установят новые спортивные рекорды и будут радовать нас своими успехами ещё долгие- долгие годы! 
 Спасибо нашим ребятам за стремление, трудолюбие и упорство, которое вы проявили не только в спорте, но и в учебе! 
 Пусть вам покоряются новые спортивные вершины!","достижениях, их пример служит вдохновением и мотивацией, будут радовать, мы уверены, успешное выступление, спасибо нашим ребятам",Позитивный
73,"Тепло всегда течет от более нагретого объекта к более холодному — это базовый принцип испарения. На базе этой особенности и построена любая компрессорная холодильная установка. В холодильнике тепло и холод тоже переносятся, но не самостоятельно, а при помощи теплоносителя или хладагента. А помогает ему в этом компрессор — насос, который ускоряет перекачивание жидкого и газообразного теплоносителя по системе.
 В качестве хладагента обычно используется фреон — у него очень низкая температура испарения, так что он быстрее набирает в себя тепло и уносит за пределы охлаждаемой камеры.
 Главный элемент холодильника— компрессор. Это мощный двигатель, который перекачивает по замкнутой системе специальный газ фреон, и позволяет переносить тепло из одного места в другое.",нет выраженных эмоций,Нейтральный
74,"Вечер среды 9 июля для жителей Ярославской области превратился во время тревожного ожидания. Ярославцев предупредили о второй волне шквалистого ветра, грозы и ливневых дождей. И вот ураган все ближе.
 В Переславле ветер и огромная туча напугали жителей. Выглядело все так, словно реальностью стал фильм-катастрофа. Снимающая видео женщина только молится, чтобы не случилось ничего серьезного. Уже известно, что часть города осталась без света. Очевидцы говорят и о прошедшем граде.","время тревожного ожидания, напугали жителей,катастрофа, только молится, чтобы не случилось ничего серьезного, часть города осталась без света",Негативный
75,"Моя любимая игрушка — львёнок Кузя. У него очень пушистая рыжая грива, чёрный нос и белая кисточка на кончике хвоста. Его огромные белые лапы обнимают меня во время сна. С ним я не боюсь спать одна в тёмной комнате.
 Львёнок всегда со мной. Даже когда мы с родителями уезжаем летом в деревню, я беру его с собой. Мама говорит, что Кузя чем-то похож на меня. Львёнок — не только моя самая любимая игрушка, это мой настоящий друг. Именно ему я доверяю свои сокровенные мысли.","моя любимая игрушка, очень пушистая, обнимают меня, с ним я не боюсь, мой настоящий друг, емуя доверяю",Позитивный
76,"Микроволновая печь (микроволновка) или СВЧ-печь — электроприбор, позволяющий совершать разогрев водосодержащих веществ благодаря электромагнитному излучению дециметрового диапазона (обычно с частотой 2450 МГц) и предназначенный для быстрого приготовления, подогрева или размораживания пищи.
 В промышленности эти печи используются для сушки, разморозки, плавления пластмасс, разогрева клеев, обжига керамики и т. д. В некоторых промышленных печах частота излучения может изменяться .",нет выраженных эмоций,Нейтральный
77,"Я так гонялась за этой новой газировкой, что купила без скидки, за полную стоимость.
 И хорошо, что всего 0.5 литра, а не литровую.
 Меня подкупила реклама этой химоты. Она такая прикольная, классная, нежно-розовая, с ароматом и цвета жвачки.
 К моему великому сожалению вкус жвачки совсем мало чувствуется. Она на вкус как вода с кислинкой и каким-то химически-ягодным ароматизатором. По запаху немного похоже на жвачку ""детский орбит"", такой в розовой упаковке раньше часто продавался. Но этот запах слабо выражен. И сладкая она, но сахар на вкус как заменитель какой-то дешёвый. Плюс ещё много газа, слишком уж много, у кого-то может вызывать громкую отрыжку, будьте осторожны. У меня после неё пару часов в животе всё бурлило. Ещё в составе ужасно вредный краситель, производитель даже не скрыл этой инфы от нас и предупредил о его вреде. Не понимаю, зачем такую отраву выпускать?","хорошо, что всего, этой химоты, к моему великому сожалению, совсем мало чувствуется, химически-ягодным ароматизатором, заменитель какой-то дешёвый, слишком уж много, будьте осторожны, ужасно вредный, зачем такую отраву выпускать",Негативный
78,"Периодически покупаю сливочное масло под этой торговой маркой.
 Масло мне нравится, поэтому покупаю его для завтрака, выпечки и других любимых блюд.
 Необходимая информация о производителе и продукте представлена на упаковке и ознакомится с ней можно перед покупкой, в магазине или интернет - магазине.
 У него приятный аромат, текстура и вкус, поэтому как и говорила ранее использую для завтрака или приготовления любимых детьми блюд. В последний раз готовила с данным сливочным маслом шоколадную колбаску, получилось вкусно","периодически покупаю, мне нравится, приятный аромат, текстура и вкус, получилось вкусно",Позитивный
79,"Энтеросгель обладает выраженными сорбционным и детоксикационным свойствами. В просвете желудочно-кишечного тракта препарат связывает и выводит из организма эндогенные и экзогенные токсические вещества различной природы, включая бактерии и бактериальные токсины, антигены, пищевые аллергены, лекарственные препараты и яды, соли тяжёлых металлов, радионуклиды, алкоголь. Препарат сорбирует также некоторые продукты обмена веществ организма, в том числе избыток билирубина, мочевины, холестерина и липидных комплексов, а также метаболиты, ответственные за развитие эндогенного токсикоза",нет выраженных эмоций,Нейтральный
80,"Во вторник, 8 июля, в Петербурге ожидается усиление ветра, закрывают сады и парки из-за непогоды. Об этом посетителей предупредили в соцсетях зелёных насаждений.
 «Сегодня снова ураган и мы вынуждены закрыть парк. Завтра будем смотреть последствия», — написали в Telegram-канале Ботанического сада.
 В музее-заповеднике «Гатчина» также приняли решение временно не пускать посетителей в Дворцовый парк. При этом доступ в Приоратский и «Зверинец» оставили открытым, но попросили людей соблюдать осторожность.
 У «Флагштока» отменили вечерний сеанс в открытый бассейн и закрыли роллердром","ожидается усиление ветра, закрывают сады и парки из-за непогоды, завтра будем смотреть последствия, попросили людей соблюдать осторожность, ",Нейтральный
81,"Купил на пробу и не прогадал. Понравилось и банка, и напиток.
 Банка - своим цветом и надписью (почти цитатой может стать): ""Городу дождей и хороших людей от Питерских пивоваров"". Особенно изображение льва на банке вдохновило, у меня это личное. Вот... ну а сам напиток - не пресный, не скучный, с горчинкой и с интересными нотками. Отлично сочетается с блюдами, приправленными свежемолотым черным перцем. Однозначно буду покупать ещё.","не прогадал, понравилось, вдохновило, не пресный, не скучный, с интересными нотками, отлично сочетается, буду покупать ещё",Позитивный
82,"В супермаркете смотрела сковороды и не могла выбрать, с тефлоном не хотелось, так как считаю вредным такое покрытие для готовки. В итоге, не получилось найти с хорошим покрытием сковороду: всё что-то искусственное.
 В обычном хозяйственном магазине были чугунные сковороды, тоже всякие тефлоновые и вот была одна такая с многослойным покрытием из натуральных кристаллов минералов. Стенки толстые, края высокие. Купила её в замен старой на дачу.","тон спокойный, без субъективных оценок",Нейтральный
83,"Я очень возмущена наглым обманом производителя, который малосъедобные пельмени выдает за качественный продукт, который продается по завышенной цене. Причем состав пельменей вполне подтверждает отвратительное качество и вполне объясняет гадкий вкус. На вкус начинка точно не из мяса, а неизвестно из чего. На лицевой части упаковки название и надписи совершенно противоречат указанному на оборотной стороне составу","я очень возмущена, малосъедобные пельмени, выдаёт за качественный, завышенной цене, отвратительное качество, гадкий вкус, неизвестно из чего, противоречат",Негативный
84,"Осуществите свою мечту о райском отдыхе благодаря Flash Sale. Будь то отдых на пляже, знакомство с новой культурой или наслаждение изысканной кухней, у нас найдется идеальное место для вас. Наши направления ждут вас — скидки до 50%. Успейте забронировать отдых мечты уже сейчас.
 Данная акция заканчивается в пятницу, 4 июля. Отдыхайте так, как удобно вам, а мы позаботимся обо всем остальном","осуществите свою мечту, о райском отдыхе, отдых, наслаждение изысканной кухней, идеальное место, скидки, отдых мечты, отдыхайте, удобно, мы позаботимся",Позитивный
